Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C30, C31, C32, C33, C4",0603,8,100nf,
"C10, C14",0603,2,104,
"C11, C16, C18",0603,3,10uF,
"C12, C13",0603,2,1uF,
C15,0805,1,22uF,
"C17, C20, C21",0603,3,C,
"C19, C23, C24, C25, C29",0603,5,0.1uF,
"C22, C7",0603,2,0.1u,
"C26, C8",0603,2,0.01u,
C5,1206,1,0.1u,
C6,CP_Elec_8x10,1,320uf,
C9,0603,1,4.7uF,
CN1,CONN-TH_XT30PW-M,1,XT30PW-M,
CN2,CONN-SMD_GH1.25-2PWBPZ,1,GH1.25-2PWBPZ,
CN3,MR30-M,1,MR30PW-F,
D1,D_SOD-323,1,1N4148WS,
"D10, D11, D12, D13, D14, D6, D7, D8, D9",D_SOD-523,9,1N4148WT,
D4,SMA_L4.4-W2.6-LS5.0-BI,1,SMAJ30CA,
D5,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,
FPC1,FPC-SMD_13P-P0.50_KINGHELM_KH-FG0.5-H2.0-13PIN,1,KH-FG0.5-H2.0-13PIN,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad_TopBottom,4,MountingHole_Pad,
IC1,SOT-23-6,1,JW5026,
IC2,SOT-23-5,1,ME6211C33M5G-N,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,
L1,L_Changjiang_FNR4010S,1,4.7uH,
L2,L_6.3x6.3_H3,1,15uH,
"L3, L4",0603,2,0R100M,
"Q1, Q2, Q3, Q4, Q5, Q6",AON7544,6,AON7544,
"R1, R2, R3, R4, R5, R6",0603,6,2.2R,
"R10, R11, R15, R16, R24",0603,5,10k,
"R12, R28, R29, R32",0603,4,R,
R13,0603,1,0R,
R14,0603,1,120R,
R22,0603,1,3.3R,
"R23, R25",0603,2,100k,
R26,0603,1,2.1K,
R27,0603,1,11.2K,
R30,0603,1,150k,
"R7, R8, R9",1206,3,0.01R,
SW1,贴片按键-2P-3_5_2,1,按键开关-2P-3*5*2,
U1,QFN50P400X400X90-25N,1,FD6288Q,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32G431C8Tx,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CH9102F,
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.3,1,MP1584EN,
"U5, U6, U7",SOT-23-6,3,INA181,
U8,CONN-SMD_5P-P1.25_GH1.25-5PWBPZ,1,GH1.25-5PWBPZ,
U9,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-TL,1,MAX3051,
Y1,CRYSTAL-SMD_3P-L3.2-W1.3-P1.2-L,1,Crystal_GND3,
