Designator,Mid X,Mid Y,Rotation,Layer
C1,152.6032,-56.4388,0.0,top
C10,153.7338,-45.4914,180.0,top
C11,157.493,-44.8818,270.0,top
C12,161.3024,-43.307,180.0,top
C13,164.1726,-40.513,90.0,top
C14,165.7474,-40.513,90.0,top
C15,148.9304,-49.403,0.0,top
C16,149.0828,-51.2318,0.0,top
C17,143.364202,-55.9054,180.0,top
C18,136.277602,-59.0804,180.0,top
C19,136.277602,-57.5564,180.0,top
C2,152.6032,-58.3692,0.0,top
C20,138.462002,-42.7228,180.0,top
C21,138.462002,-44.2468,180.0,top
C22,176.5792,-62.8008,270.0,top
C23,169.4302,-69.3898,180.0,top
C24,162.1404,-69.466,180.0,top
C25,154.6728,-69.466,180.0,top
C26,180.581,-44.4246,0.0,top
C29,149.0828,-52.705,0.0,top
C3,152.6032,-60.1218,0.0,top
C30,166.7509,-44.069,270.0,top
C31,161.2392,-46.0756,45.0,top
C32,172.1104,-51.4604,270.0,top
C33,172.1104,-49.1744,180.0,top
C4,155.448,-53.3654,270.0,top
C5,149.5298,-76.6318,90.0,top
C6,142.6464,-67.0052,0.0,top
C7,136.398,-61.722,90.0,top
C8,143.383,-57.4294,0.0,top
C9,151.5618,-39.0398,180.0,top
CN1,141.1636,-76.6064,270.0,top
CN2,180.0782,-67.564,90.0,top
CN3,165.0694,-85.725,180.0,top
D1,157.2514,-39.2938,180.0,top
D10,170.1526,-65.9608,180.0,top
D11,166.941,-65.9608,0.0,top
D12,149.733,-56.769,180.0,top
D13,149.733,-58.3692,180.0,top
D14,149.733,-60.071,180.0,top
D4,142.8242,-61.1632,0.0,top
D5,145.034,-51.5366,270.0,top
D6,151.8758,-65.9222,0.0,top
D7,155.0142,-65.91,180.0,top
D8,162.6342,-65.9354,180.0,top
D9,159.4734,-65.91,0.0,top
FPC1,178.6578,-77.3948,90.0,top
IC1,153.8734,-42.9626,180.0,top
IC2,161.3024,-40.7162,0.0,top
J1,172.969452,-42.31806,180.0,top
L1,154.1656,-48.6664,0.0,top
L2,147.439081,-44.80414,180.0,top
L3,164.465,-44.8564,0.0,top
L4,164.4649,-43.3324,0.0,top
Q1,154.2268,-78.5178,180.0,top
Q2,157.9118,-77.1208,180.0,top
Q3,161.5572,-78.4386,180.0,top
Q4,165.2392,-77.0416,180.0,top
Q5,168.8856,-78.4533,180.0,top
Q6,172.5856,-77.0563,180.0,top
R1,151.8758,-64.3982,0.0,top
R10,173.6344,-56.5404,0.0,top
R11,173.6344,-58.039,0.0,top
R12,140.697202,-43.4848,90.0,top
R13,146.9644,-55.6514,90.0,top
R14,176.5046,-67.5386,270.0,top
R15,175.26,-82.423,0.0,top
R16,175.26,-83.947,0.0,top
R2,155.0396,-64.386,180.0,top
R22,143.383,-58.9788,0.0,top
R23,136.6012,-63.9826,180.0,top
R24,134.8994,-61.722,90.0,top
R25,151.5618,-40.513,180.0,top
R26,157.493,-41.8592,90.0,top
R27,159.017,-44.8818,90.0,top
R28,135.363202,-44.2468,180.0,top
R29,135.363202,-45.7454,0.0,top
R3,159.4226,-64.386,0.0,top
R30,137.623802,-55.9054,180.0,top
R32,142.170402,-43.4848,90.0,top
R4,162.6342,-64.386,180.0,top
R5,166.9156,-64.3606,0.0,top
R6,170.0276,-64.3606,180.0,top
R7,158.178,-72.895,90.0,top
R8,165.4678,-72.895,90.0,top
R9,172.8338,-72.895,90.0,top
SW1,181.3306,-48.6156,90.0,top
U1,157.2714,-58.131,270.0,top
U2,165.0746,-51.9684,135.0,top
U3,175.6593,-52.6234,270.0,top
U4,139.198602,-50.7234,180.0,top
U5,154.6982,-72.641,90.0,top
U6,162.1658,-72.641,90.0,top
U7,169.5064,-72.641,90.0,top
U8,180.0862,-58.6552,90.0,top
U9,173.9376,-62.8262,270.0,top
Y1,168.7068,-57.6834,45.0,top
